Main Meal,Side Meal,Complete Meal,Ingredients,Quantities,Meal_Ingredient_Ids
Chicken Fried Rice,Ala Badun,Chicken Fried Rice with Ala Badun,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Potato,  Oil, onion","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 40.0, 10.0, 30.0, 5.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLB006, SLJ002"
Chicken Fried Rice,Cashew Curry,Chicken Fried Rice with Cashew Curry,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Cashew,  Coconut milk","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 50.0, 25.0, 10.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLI004,  SLI005, SLK002"
Chicken Fried Rice,Green Pea Curry,Chicken Fried Rice with Green Pea Curry,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Green pea,  Coconut milk","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 50.0, 25.0, 10.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLC007,  SLI005, SLK002"
Chicken Fried Rice,Ginger Chicken,Chicken Fried Rice with Ginger Chicken,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Chicken,  Ginger","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 50.0, 25.0, 10.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLK012, SLK002"
Chicken Fried Rice,Fish Cutlets,Chicken Fried Rice with Fish Cutlets,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Fish,  Potatoes","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 30.0, 50.0, 10.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLF034,  SLB006,  SLK002"
Chicken Fried Rice,Vegetable Cutlets,Chicken Fried Rice with Vegetable Cutlets,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Carrot,  Potatoes","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 30.0, 40.0, 10.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009,  SLB006,  SLK002"
Chicken Fried Rice,Tapioca Chips,Chicken Fried Rice with Tapioca Chips,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Tapioca,  Oil,  Salt","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 50.0, 20.0, 10.0, 10.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLB011,  SLJ002,  SLK002"
Chicken Fried Rice,potatoe cheese Balls,Chicken Fried Rice with potatoe cheese Balls,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, cheese,  Potatoes","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 30.0, 60.0, 10.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLG002,  SLB006,  SLK018"
Chicken Fried Rice,Vegetable Balls,Chicken Fried Rice with Vegetable Balls,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Carrot,  leeks","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 30.0, 50.0, 10.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009,  SLD055,  SLD049,  SLB006,  SLK018"
Chicken Fried Rice,Ginger Chicken,Chicken Fried Rice with Ginger Chicken,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Chicken,  Ginger","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 50.0, 25.0, 10.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLK012, SLK002"
