Main Meal,Side Meal,Complete Meal,Ingredients,Quantities,Meal_Ingredient_Ids
Vegetable Fried Rice,"Wambatu Moju, Fish Cutlets, Vegetable Balls","Vegetable Fried Rice with Wambatu Moju, Fish Cutlets, Vegetable Balls","Rice, carrot, leeks, onion,  Spices, curry leaves, Eggplant,  Vinegar, tomato sause, Fish,  Potatoes,  Chillies, Carrot,  leeks,  Jackfruit","300.0, 60.0, 60.0, 30.0, 9.0, 7.5, 60.0, 1.5, 15.0, 60.0, 100.0, 20.0, 30.0, 50.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLD019, SLI017, , SLD082, SLF034,  SLB006,  SLK002,  SLD055,  SLD049,  SLK018"
Vegetable Fried Rice,"Wambatu Moju, Devilled Chicken, Vegetable Cutlets","Vegetable Fried Rice with Wambatu Moju, Devilled Chicken, Vegetable Cutlets","Rice, carrot, leeks, onion,  Spices, curry leaves, Eggplant,  Vinegar, tomato sause, Chicken,  Chili,  Curry leaves, Onion, Carrot,  Potatoes,  Chillies","300.0, 60.0, 60.0, 30.0, 9.0, 7.5, 60.0, 1.5, 15.0, 100.0, 10.0, 20.0, 40.0, 30.0, 40.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLD019, SLI017, , SLD082, SLH006, SLK002,  SLB006,  SLK002"
Vegetable Fried Rice,"Wambatu Moju, Vegetable Cutlets, potatoe cheese Balls","Vegetable Fried Rice with Wambatu Moju, Vegetable Cutlets, potatoe cheese Balls","Rice, carrot, leeks, onion,  Spices, curry leaves, Eggplant,  Vinegar, tomato sause, Carrot,  Potatoes,  Chillies, cheese,  pepper","300.0, 60.0, 60.0, 30.0, 9.0, 7.5, 60.0, 1.5, 15.0, 60.0, 140.0, 20.0, 30.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLD019, SLI017, , SLD082,  SLB006,  SLK002, SLG002,  SLK018"
Vegetable Fried Rice,"Chicken Curry, Wambatu Moju, Ginger Chicken","Vegetable Fried Rice with Chicken Curry, Wambatu Moju, Ginger Chicken","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Coconut milk, Eggplant,  Vinegar, tomato sause,  Ginger,  Chillies","300.0, 60.0, 60.0, 25.0, 24.0, 7.5, 170.0, 30.0, 40.0, 1.0, 10.0, 25.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLI005, SLD019, SLI017, , SLD082, SLK012, SLK002"
Vegetable Fried Rice,"Chicken Curry, Devilled Chicken, Ginger Chicken","Vegetable Fried Rice with Chicken Curry, Devilled Chicken, Ginger Chicken","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Coconut milk,  Chili,  Curry leaves, Onion,  Ginger,  Chillies","300.0, 60.0, 60.0, 15.0, 24.0, 7.5, 270.0, 30.0, 10.0, 20.0, 40.0, 25.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLI005, SLK002, SLK012"
Vegetable Fried Rice,"Chicken Curry, Devilled Chicken, Green Pea Curry","Vegetable Fried Rice with Chicken Curry, Devilled Chicken, Green Pea Curry","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Coconut milk,  Chili,  Curry leaves, Onion, Green pea,  Chillies","300.0, 60.0, 60.0, 15.0, 24.0, 7.5, 220.0, 55.0, 10.0, 20.0, 40.0, 50.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLI005, SLK002, SLC007,  SLI005"
Vegetable Fried Rice,"Ala Badun, Green Pea Curry, Tapioca Chips","Vegetable Fried Rice with Ala Badun, Green Pea Curry, Tapioca Chips","Rice, carrot, leeks, onion,  Spices, curry leaves, Potato,  Oil, chilli, Green pea,  Coconut milk,  Chillies, Tapioca,  Salt,  chillies","300.0, 60.0, 60.0, 105.0, 9.0, 7.5, 120.0, 50.0, 15.0, 100.0, 50.0, 20.0, 50.0, 10.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLB006, SLJ002, SLC007,  SLI005, SLK002, SLB011,  SLJ002,  SLK002"
Vegetable Fried Rice,"Chicken Curry, Ala Badun, Vegetable Balls","Vegetable Fried Rice with Chicken Curry, Ala Badun, Vegetable Balls","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Coconut milk, Potato,  Oil, chilli, Carrot,  leeks,  Jackfruit","300.0, 60.0, 60.0, 75.0, 24.0, 7.5, 120.0, 30.0, 80.0, 20.0, 10.0, 30.0, 50.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLI005, SLB006, SLJ002,  SLD055,  SLD049,  SLB006,  SLK018"
Vegetable Fried Rice,"Wambatu Moju, Ginger Chicken, Vegetable Cutlets","Vegetable Fried Rice with Wambatu Moju, Ginger Chicken, Vegetable Cutlets","Rice, carrot, leeks, onion,  Spices, curry leaves, Eggplant,  Vinegar, tomato sause, Chicken,  Ginger,  Chillies, Carrot,  Potatoes","300.0, 60.0, 60.0, 30.0, 9.0, 7.5, 60.0, 1.5, 15.0, 100.0, 50.0, 30.0, 30.0, 40.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLD019, SLI017, , SLD082, SLH006, SLK012, SLK002,  SLB006,  SLK002"
Vegetable Fried Rice,"Parippu, Devilled Chicken, Vegetable Cutlets","Vegetable Fried Rice with Parippu, Devilled Chicken, Vegetable Cutlets","Rice, carrot, leeks, onion,  Spices, curry leaves, Dhal,  Coconut milk, Termeric powder, Chicken,  Chili,  Curry leaves, Onion, Carrot,  Potatoes,  Chillies","300.0, 60.0, 60.0, 15.0, 9.0, 7.5, 30.0, 30.0, 15.0, 100.0, 10.0, 20.0, 40.0, 30.0, 40.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLC009, SLI005, SLK019, SLH006, SLK002,  SLB006,  SLK002"
Vegetable Fried Rice,"Devilled Fish, Green Pea Curry, Fish Cutlets","Vegetable Fried Rice with Devilled Fish, Green Pea Curry, Fish Cutlets","Rice, carrot, leeks, onion,  Spices, curry leaves, Fish,  Chili,  Curry leaves, Onion, Green pea,  Coconut milk,  Chillies,  Potatoes","300.0, 60.0, 60.0, 15.0, 9.0, 7.5, 180.0, 15.0, 15.0, 60.0, 100.0, 50.0, 30.0, 50.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLF006, SLK002, SLC007,  SLI005, SLF034,  SLB006,  SLK002"
Vegetable Fried Rice,"Cashew Curry, Vegetable Cutlets, Ginger Chicken","Vegetable Fried Rice with Cashew Curry, Vegetable Cutlets, Ginger Chicken","Rice, carrot, leeks, onion,  Spices, curry leaves, Cashew,  Coconut milk,  Chillies, Carrot,  Potatoes, Chicken,  Ginger","300.0, 60.0, 60.0, 15.0, 9.0, 7.5, 150.0, 75.0, 60.0, 60.0, 80.0, 50.0, 25.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLI004,  SLI005, SLK002,  SLB006,  SLK002, SLH006, SLK012"
Vegetable Fried Rice,"Parippu, Cashew Curry, Tapioca Chips","Vegetable Fried Rice with Parippu, Cashew Curry, Tapioca Chips","Rice, carrot, leeks, onion,  Spices, curry leaves, Dhal,  Coconut milk, Termeric powder, Cashew,  Chillies, Tapioca,  Oil,  Salt,  chillies","300.0, 60.0, 60.0, 15.0, 9.0, 7.5, 30.0, 80.0, 15.0, 100.0, 20.0, 50.0, 20.0, 10.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLC009, SLI005, SLK019, SLI004,  SLI005, SLK002, SLB011,  SLJ002,  SLK002"
Vegetable Fried Rice,"Parippu, Chicken Curry, Green Pea Curry","Vegetable Fried Rice with Parippu, Chicken Curry, Green Pea Curry","Rice, carrot, leeks, onion,  Spices, curry leaves, Dhal,  Coconut milk, Termeric powder, Chicken, Green pea,  Chillies","300.0, 60.0, 60.0, 15.0, 19.0, 7.5, 30.0, 75.0, 15.0, 80.0, 50.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLC009, SLI005, SLK019, SLH006, SLC007,  SLI005, SLK002"
Vegetable Fried Rice,"Ala Badun, Fish Cutlets, potatoe cheese Balls, Vegetable Balls","Vegetable Fried Rice with Ala Badun, Fish Cutlets, potatoe cheese Balls, Vegetable Balls","Rice, carrot, leeks, onion,  Spices, curry leaves, Potato,  Oil, chilli, Fish,  Potatoes,  Chillies, cheese,  pepper, Carrot,  leeks,  Jackfruit","400.0, 80.0, 80.0, 140.0, 12.0, 10.0, 160.0, 40.0, 20.0, 90.0, 270.0, 30.0, 60.0, 20.0, 30.0, 50.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLB006, SLJ002, SLF034,  SLB006,  SLK002, SLG002,  SLK018,  SLD055,  SLD049"
Vegetable Fried Rice,"Chicken Curry, Ala Badun, Green Pea Curry, Fish Cutlets","Vegetable Fried Rice with Chicken Curry, Ala Badun, Green Pea Curry, Fish Cutlets","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Coconut milk, Potato,  Oil, chilli, Green pea,  Chillies, Fish,  Potatoes","400.0, 80.0, 80.0, 110.0, 32.0, 10.0, 160.0, 90.0, 120.0, 30.0, 15.0, 100.0, 30.0, 30.0, 50.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLI005, SLB006, SLJ002, SLC007,  SLI005, SLK002, SLF034,  SLB006,  SLK002"
Vegetable Fried Rice,"Parippu, Wambatu Moju, Devilled Fish, Vegetable Balls","Vegetable Fried Rice with Parippu, Wambatu Moju, Devilled Fish, Vegetable Balls","Rice, carrot, leeks, onion,  Spices, curry leaves, Dhal,  Coconut milk, Termeric powder, Eggplant,  Vinegar, tomato sause, Fish,  Chili,  Curry leaves, Onion, Carrot,  leeks,  Jackfruit","400.0, 80.0, 80.0, 35.0, 12.0, 10.0, 40.0, 40.0, 20.0, 60.0, 1.5, 15.0, 100.0, 10.0, 10.0, 40.0, 30.0, 50.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLC009, SLI005, SLK019, SLD019, SLI017, , SLD082, SLF006, SLK002,  SLD055,  SLD049,  SLB006,  SLK018"
Vegetable Fried Rice,"Chicken Curry, Devilled Fish, Fish Cutlets, potatoe cheese Balls","Vegetable Fried Rice with Chicken Curry, Devilled Fish, Fish Cutlets, potatoe cheese Balls","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Coconut milk, Fish,  Chili,  Curry leaves, Onion,  Potatoes,  Chillies, cheese,  pepper","400.0, 80.0, 80.0, 20.0, 32.0, 10.0, 160.0, 40.0, 210.0, 15.0, 15.0, 60.0, 160.0, 20.0, 30.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLI005, SLF006, SLK002, SLF034,  SLB006,  SLK002, SLG002,  SLK018"
Vegetable Fried Rice,"Chicken Curry, Chicken Curry, Cashew Curry, Fish Cutlets","Vegetable Fried Rice with Chicken Curry, Chicken Curry, Cashew Curry, Fish Cutlets","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Coconut milk, Cashew,  Chillies, Fish,  Potatoes","400.0, 80.0, 80.0, 20.0, 47.0, 10.0, 280.0, 120.0, 100.0, 30.0, 30.0, 50.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLI005, SLI004,  SLI005, SLK002, SLF034,  SLB006,  SLK002"
Vegetable Fried Rice,"Chicken Curry, Ala Badun, Cashew Curry, Ginger Chicken","Vegetable Fried Rice with Chicken Curry, Ala Badun, Cashew Curry, Ginger Chicken","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Coconut milk, Potato,  Oil, chilli, Cashew,  Chillies,  Ginger","400.0, 80.0, 80.0, 110.0, 32.0, 10.0, 210.0, 90.0, 120.0, 30.0, 15.0, 100.0, 30.0, 25.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLI005, SLB006, SLJ002, SLI004,  SLI005, SLK002, SLK012"
Vegetable Fried Rice,"Chicken Curry, Cashew Curry, Green Pea Curry, Vegetable Balls","Vegetable Fried Rice with Chicken Curry, Cashew Curry, Green Pea Curry, Vegetable Balls","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Coconut milk, Cashew,  Chillies, Green pea, Carrot,  leeks,  Jackfruit","400.0, 80.0, 80.0, 20.0, 32.0, 10.0, 160.0, 165.0, 150.0, 50.0, 100.0, 30.0, 50.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLI005, SLI004,  SLI005, SLK002, SLC007,  SLD055,  SLD049,  SLB006,  SLK018"
Vegetable Fried Rice,"Devilled Fish, Ala Badun, Green Pea Curry, Tapioca Chips","Vegetable Fried Rice with Devilled Fish, Ala Badun, Green Pea Curry, Tapioca Chips","Rice, carrot, leeks, onion,  Spices, curry leaves, Fish,  Chili,  Curry leaves, Onion, Potato,  Oil, chilli, Green pea,  Coconut milk,  Chillies, Tapioca,  Salt,  chillies","400.0, 80.0, 80.0, 110.0, 12.0, 10.0, 200.0, 20.0, 20.0, 80.0, 120.0, 50.0, 15.0, 100.0, 50.0, 20.0, 50.0, 10.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLF006, SLK002, SLB006, SLJ002, SLC007,  SLI005, SLB011,  SLJ002,  SLK002"
Vegetable Fried Rice,"Parippu, Cashew Curry, Green Pea Curry, Vegetable Cutlets","Vegetable Fried Rice with Parippu, Cashew Curry, Green Pea Curry, Vegetable Cutlets","Rice, carrot, leeks, onion,  Spices, curry leaves, Dhal,  Coconut milk, Termeric powder, Cashew,  Chillies, Green pea, Carrot,  Potatoes","400.0, 80.0, 80.0, 20.0, 12.0, 10.0, 40.0, 165.0, 20.0, 150.0, 60.0, 100.0, 30.0, 40.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLC009, SLI005, SLK019, SLI004,  SLI005, SLK002, SLC007,  SLB006,  SLK002"
Vegetable Fried Rice,"Parippu, Chicken Curry, Cashew Curry, potatoe cheese Balls","Vegetable Fried Rice with Parippu, Chicken Curry, Cashew Curry, potatoe cheese Balls","Rice, carrot, leeks, onion,  Spices, curry leaves, Dhal,  Coconut milk, Termeric powder, Chicken, Cashew,  Chillies, cheese,  Potatoes,  pepper","400.0, 80.0, 80.0, 20.0, 27.0, 10.0, 40.0, 120.0, 20.0, 120.0, 100.0, 20.0, 30.0, 60.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLC009, SLI005, SLK019, SLH006, SLI004,  SLI005, SLK002, SLG002,  SLB006,  SLK018"
Vegetable Fried Rice,"Wambatu Moju, Devilled Chicken, Fish Cutlets, potatoe cheese Balls","Vegetable Fried Rice with Wambatu Moju, Devilled Chicken, Fish Cutlets, potatoe cheese Balls","Rice, carrot, leeks, onion,  Spices, curry leaves, Eggplant,  Vinegar, tomato sause, Chicken,  Chili,  Curry leaves, Onion, Fish,  Potatoes,  Chillies, cheese,  pepper","400.0, 80.0, 80.0, 40.0, 12.0, 10.0, 80.0, 2.0, 20.0, 150.0, 15.0, 30.0, 60.0, 60.0, 160.0, 20.0, 30.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLD019, SLI017, , SLD082, SLH006, SLK002, SLF034,  SLB006,  SLK002, SLG002,  SLK018"
Vegetable Fried Rice,"Chicken Curry, Devilled Fish, Ala Badun, Cashew Curry","Vegetable Fried Rice with Chicken Curry, Devilled Fish, Ala Badun, Cashew Curry","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Coconut milk, Fish,  Chili,  Curry leaves, Onion, Potato,  Oil, chilli, Cashew,  Chillies","400.0, 80.0, 80.0, 80.0, 32.0, 10.0, 160.0, 65.0, 150.0, 15.0, 15.0, 60.0, 80.0, 20.0, 10.0, 50.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLI005, SLF006, SLK002, SLB006, SLJ002, SLI004,  SLI005"
Vegetable Fried Rice,"Chicken Curry, Chicken Curry, Devilled Chicken, Vegetable Balls","Vegetable Fried Rice with Chicken Curry, Chicken Curry, Devilled Chicken, Vegetable Balls","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Coconut milk,  Chili,  Curry leaves, Onion, Carrot,  leeks,  Jackfruit","400.0, 80.0, 80.0, 20.0, 47.0, 10.0, 380.0, 70.0, 10.0, 20.0, 40.0, 30.0, 50.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLI005, SLK002,  SLD055,  SLD049,  SLB006,  SLK018"
Vegetable Fried Rice,"Chicken Curry, Parippu, Devilled Chicken, Ala Badun","Vegetable Fried Rice with Chicken Curry, Parippu, Devilled Chicken, Ala Badun","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Coconut milk, Dhal, Termeric powder,  Chili,  Curry leaves, Onion, Potato,  Oil, chilli","400.0, 80.0, 80.0, 50.0, 32.0, 10.0, 260.0, 70.0, 30.0, 15.0, 10.0, 20.0, 40.0, 40.0, 10.0, 5.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLI005, SLC009, SLK019, SLK002, SLB006, SLJ002"
Vegetable Fried Rice,"Wambatu Moju, Chicken Curry, Green Pea Curry, Tapioca Chips","Vegetable Fried Rice with Wambatu Moju, Chicken Curry, Green Pea Curry, Tapioca Chips","Rice, carrot, leeks, onion,  Spices, curry leaves, Eggplant,  Vinegar, tomato sause, Chicken,  Coconut milk, Green pea,  Chillies, Tapioca,  Oil,  Salt,  chillies","400.0, 80.0, 80.0, 40.0, 27.0, 10.0, 80.0, 2.0, 20.0, 120.0, 80.0, 100.0, 20.0, 50.0, 20.0, 10.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLD019, SLI017, , SLD082, SLH006, SLI005, SLC007,  SLI005, SLK002, SLB011,  SLJ002,  SLK002"
Vegetable Fried Rice,"Wambatu Moju, Chicken Curry, Vegetable Cutlets, Vegetable Balls","Vegetable Fried Rice with Wambatu Moju, Chicken Curry, Vegetable Cutlets, Vegetable Balls","Rice, carrot, leeks, onion,  Spices, curry leaves, Eggplant,  Vinegar, tomato sause, Chicken,  Coconut milk, Carrot,  Potatoes,  Chillies,  leeks,  Jackfruit","400.0, 80.0, 80.0, 40.0, 27.0, 10.0, 80.0, 2.0, 20.0, 120.0, 30.0, 90.0, 80.0, 20.0, 50.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLD019, SLI017, , SLD082, SLH006, SLI005,  SLB006,  SLK002,  SLD055,  SLD049,  SLK018"
Vegetable Fried Rice,"Devilled Fish, Ginger Chicken, Fish Cutlets, Vegetable Cutlets","Vegetable Fried Rice with Devilled Fish, Ginger Chicken, Fish Cutlets, Vegetable Cutlets","Rice, carrot, leeks, onion,  Spices, curry leaves, Fish,  Chili,  Curry leaves, Onion, Chicken,  Ginger,  Chillies,  Potatoes, Carrot","400.0, 80.0, 80.0, 20.0, 12.0, 10.0, 260.0, 20.0, 20.0, 80.0, 150.0, 75.0, 60.0, 140.0, 30.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLF006, SLK002, SLH006, SLK012, SLF034,  SLB006,  SLK002"
Vegetable Fried Rice,"Devilled Chicken, Vegetable Cutlets, Tapioca Chips, Vegetable Balls","Vegetable Fried Rice with Devilled Chicken, Vegetable Cutlets, Tapioca Chips, Vegetable Balls","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Chili,  Curry leaves, Onion, Carrot,  Potatoes,  Chillies, Tapioca,  Oil,  Salt,  chillies,  leeks,  Jackfruit","400.0, 80.0, 80.0, 20.0, 12.0, 10.0, 200.0, 20.0, 40.0, 80.0, 120.0, 120.0, 30.0, 100.0, 40.0, 20.0, 20.0, 50.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLK002,  SLB006,  SLK002, SLB011,  SLJ002,  SLD055,  SLD049,  SLK018"
Vegetable Fried Rice,"Chicken Curry, Ala Badun, Ginger Chicken, Vegetable Cutlets","Vegetable Fried Rice with Chicken Curry, Ala Badun, Ginger Chicken, Vegetable Cutlets","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Coconut milk, Potato,  Oil, chilli,  Ginger,  Chillies, Carrot,  Potatoes","400.0, 80.0, 80.0, 110.0, 32.0, 10.0, 260.0, 40.0, 120.0, 30.0, 15.0, 50.0, 30.0, 30.0, 40.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLI005, SLB006, SLJ002, SLK012, SLK002,  SLB006,  SLK002"
Vegetable Fried Rice,"Parippu, Chicken Curry, Devilled Chicken, Ginger Chicken","Vegetable Fried Rice with Parippu, Chicken Curry, Devilled Chicken, Ginger Chicken","Rice, carrot, leeks, onion,  Spices, curry leaves, Dhal,  Coconut milk, Termeric powder, Chicken,  Chili,  Curry leaves, Onion,  Ginger,  Chillies","400.0, 80.0, 80.0, 20.0, 27.0, 10.0, 40.0, 70.0, 20.0, 270.0, 10.0, 20.0, 40.0, 25.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLC009, SLI005, SLK019, SLH006, SLK002, SLK012"
Vegetable Fried Rice,"Chicken Curry, Devilled Chicken, Ala Badun, Cashew Curry, Ginger Chicken","Vegetable Fried Rice with Chicken Curry, Devilled Chicken, Ala Badun, Cashew Curry, Ginger Chicken","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Coconut milk,  Chili,  Curry leaves, Onion, Potato,  Oil, chilli, Cashew,  Chillies,  Ginger","500.0, 100.0, 100.0, 115.0, 40.0, 12.5, 450.0, 100.0, 20.0, 40.0, 80.0, 120.0, 30.0, 15.0, 100.0, 30.0, 25.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLI005, SLK002, SLB006, SLJ002, SLI004,  SLI005, SLK012"
Vegetable Fried Rice,"Parippu, Devilled Fish, Ginger Chicken, Vegetable Balls, Ginger Chicken","Vegetable Fried Rice with Parippu, Devilled Fish, Ginger Chicken, Vegetable Balls, Ginger Chicken","Rice, carrot, leeks, onion,  Spices, curry leaves, Dhal,  Coconut milk, Termeric powder, Fish,  Chili,  Curry leaves, Onion, Chicken,  Ginger,  Chillies, Carrot,  leeks,  Jackfruit,  Potatoes,  pepper","500.0, 100.0, 100.0, 25.0, 15.0, 12.5, 50.0, 50.0, 25.0, 200.0, 20.0, 20.0, 80.0, 160.0, 75.0, 30.0, 60.0, 100.0, 20.0, 50.0, 25.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLC009, SLI005, SLK019, SLF006, SLK002, SLH006, SLK012,  SLD055,  SLD049,  SLB006,  SLK018"
Vegetable Fried Rice,"Chicken Curry, Parippu, Devilled Fish, Ala Badun, Vegetable Balls","Vegetable Fried Rice with Chicken Curry, Parippu, Devilled Fish, Ala Badun, Vegetable Balls","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Coconut milk, Dhal, Termeric powder, Fish,  Chili,  Curry leaves, Onion, Potato,  Oil, chilli, Carrot,  leeks,  Jackfruit","500.0, 100.0, 100.0, 85.0, 40.0, 12.5, 200.0, 90.0, 40.0, 20.0, 150.0, 15.0, 15.0, 60.0, 80.0, 20.0, 10.0, 30.0, 50.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLI005, SLC009, SLK019, SLF006, SLK002, SLB006, SLJ002,  SLD055,  SLD049,  SLB006,  SLK018"
Vegetable Fried Rice,"Wambatu Moju, Devilled Chicken, Devilled Fish, Ginger Chicken, potatoe cheese Balls","Vegetable Fried Rice with Wambatu Moju, Devilled Chicken, Devilled Fish, Ginger Chicken, potatoe cheese Balls","Rice, carrot, leeks, onion,  Spices, curry leaves, Eggplant,  Vinegar, tomato sause, Chicken,  Chili,  Curry leaves, Onion, Fish,  Ginger,  Chillies, cheese,  Potatoes,  pepper","500.0, 100.0, 100.0, 50.0, 15.0, 12.5, 100.0, 2.5, 25.0, 300.0, 35.0, 55.0, 140.0, 150.0, 50.0, 20.0, 30.0, 60.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLD019, SLI017, , SLD082, SLH006, SLK002, SLF006, SLK012, SLG002,  SLB006,  SLK018"
Vegetable Fried Rice,"Chicken Curry, Devilled Chicken, Ginger Chicken, Fish Cutlets, Ginger Chicken","Vegetable Fried Rice with Chicken Curry, Devilled Chicken, Ginger Chicken, Fish Cutlets, Ginger Chicken","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Coconut milk,  Chili,  Curry leaves, Onion,  Ginger,  Chillies, Fish,  Potatoes","500.0, 100.0, 100.0, 25.0, 40.0, 12.5, 600.0, 50.0, 20.0, 40.0, 80.0, 100.0, 60.0, 60.0, 100.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLI005, SLK002, SLK012, SLF034,  SLB006,  SLK002"
Vegetable Fried Rice,"Chicken Curry, Parippu, Green Pea Curry, Ginger Chicken, Vegetable Cutlets","Vegetable Fried Rice with Chicken Curry, Parippu, Green Pea Curry, Ginger Chicken, Vegetable Cutlets","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Coconut milk, Dhal, Termeric powder, Green pea,  Chillies,  Ginger, Carrot,  Potatoes","500.0, 100.0, 100.0, 25.0, 40.0, 12.5, 300.0, 165.0, 40.0, 20.0, 150.0, 60.0, 50.0, 30.0, 40.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLI005, SLC009, SLK019, SLC007,  SLI005, SLK002, SLK012,  SLB006,  SLK002"
Vegetable Fried Rice,"Chicken Curry, Chicken Curry, Devilled Fish, Vegetable Balls, Ginger Chicken","Vegetable Fried Rice with Chicken Curry, Chicken Curry, Devilled Fish, Vegetable Balls, Ginger Chicken","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Coconut milk, Fish,  Chili,  Curry leaves, Onion, Carrot,  leeks,  Jackfruit,  Potatoes,  pepper","500.0, 100.0, 100.0, 25.0, 60.0, 12.5, 370.0, 90.0, 150.0, 15.0, 15.0, 60.0, 60.0, 100.0, 20.0, 50.0, 25.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLI005, SLF006, SLK002,  SLD055,  SLD049,  SLB006,  SLK018, SLK012"
Vegetable Fried Rice,"Devilled Chicken, Cashew Curry, Tapioca Chips, potatoe cheese Balls, Ginger Chicken","Vegetable Fried Rice with Devilled Chicken, Cashew Curry, Tapioca Chips, potatoe cheese Balls, Ginger Chicken","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Chili,  Curry leaves, Onion, Cashew,  Coconut milk,  Chillies, Tapioca,  Oil,  Salt,  chillies, cheese,  Potatoes,  pepper,  Ginger","500.0, 100.0, 100.0, 25.0, 15.0, 12.5, 300.0, 25.0, 50.0, 100.0, 200.0, 100.0, 50.0, 150.0, 60.0, 30.0, 30.0, 60.0, 120.0, 20.0, 25.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLK002, SLI004,  SLI005, SLB011,  SLJ002,  SLK002, SLG002,  SLB006,  SLK018, SLK012"
